"id","stateName","countyName","county"
"9505","Wyoming"," Campbell "," Campbell County "
"9506","Florida"," Bradford "," Bradford County "
"9507","Idaho"," Bingham "," Bingham County "
"9508","Arkansas"," Bradley "," Bradley County "
"9509","Colorado"," Boulder "," Boulder County "
"9510","California"," Colusa "," Colusa County "
"9511","Alaska"," Dillingham "," Dillingham Borough "
"9512","Arizona"," Graham "," Graham County "
"9513","Georgia"," Ben Hill "," Ben Hill County "
"9514","Alabama"," Conecuh "," Conecuh County "
"9515","Montana"," Broadwater "," Broadwater County "
"9516","Missouri"," Audrain "," Audrain County "
"9517","Mississippi"," Attala "," Attala County "
"9518","Wyoming"," Carbon "," Carbon County "
"9519","Florida"," Brevard "," Brevard County "
"9520","Idaho"," Blaine "," Blaine County "
"9521","Arkansas"," Calhoun "," Calhoun County "
"9522","Colorado"," Broomfield "," Broomfield County "
"9523","California"," Contra Costa "," Contra Costa County "
"9524","Alaska"," Fairbanks North Star "," Fairbanks North Star Borough "
"9525","Arizona"," Greenlee "," Greenlee County "
"9526","Georgia"," Berrien "," Berrien County "
"9527","Alabama"," Coosa "," Coosa County "
"9528","Montana"," Carbon "," Carbon County "
"9529","Missouri"," Barry "," Barry County "
"9530","Mississippi"," Benton "," Benton County "
"9531","Wyoming"," Converse "," Converse County "
"9532","Florida"," Broward "," Broward County "
"9533","Idaho"," Boise "," Boise County "
"9534","Arkansas"," Carroll "," Carroll County "
"9535","Colorado"," Chaffee "," Chaffee County "
"9536","California"," Del Norte "," Del Norte County "
"9537","Alaska"," Haines "," Haines Borough "
"9538","Arizona"," La Paz "," La Paz County "
"9539","Georgia"," Bibb "," Bibb County "
"9540","Alabama"," Covington "," Covington County "
"9541","Montana"," Cascade "," Cascade County "
"9542","Missouri"," Barton "," Barton County "
"9543","Mississippi"," Bolivar "," Bolivar County "
"9544","Wyoming"," Crook "," Crook County "
"9545","Florida"," Calhoun "," Calhoun County "
"9546","Idaho"," Bonner "," Bonner County "
"9547","Arkansas"," Chicot "," Chicot County "
"9548","Colorado"," Cheyenne "," Cheyenne County "
"9549","California"," El Dorado "," El Dorado County "
"9550","Alaska"," Juneau "," Juneau Borough "
"9551","Arizona"," Maricopa "," Maricopa County "
"9552","Georgia"," Bleckley "," Bleckley County "
"9553","Alabama"," Crenshaw "," Crenshaw County "
"9554","Montana"," Chouteau "," Chouteau County "
"9555","Missouri"," Bates "," Bates County "
"9556","Mississippi"," Calhoun "," Calhoun County "
"9557","Wyoming"," Fremont "," Fremont County "
"9558","Florida"," Charlotte "," Charlotte County "
"9559","Idaho"," Bonneville "," Bonneville County "
"9560","Arkansas"," Clark "," Clark County "
"9561","Colorado"," Clear Creek "," Clear Creek County "
"9562","California"," Fresno "," Fresno County "
"9563","Alaska"," Kenai Peninsula "," Kenai Peninsula Borough "
"9564","Arizona"," Mohave "," Mohave County "
"9565","Georgia"," Brantley "," Brantley County "
"9566","Alabama"," Cullman "," Cullman County "
"9567","Montana"," Custer "," Custer County "
"9568","Missouri"," Benton "," Benton County "
"9569","Mississippi"," Carroll "," Carroll County "
"9570","Wyoming"," Goshen "," Goshen County "
"9571","Florida"," Citrus "," Citrus County "
"9572","Idaho"," Boundary "," Boundary County "
"9573","Arkansas"," Clay "," Clay County "
"9574","Colorado"," Conejos "," Conejos County "
"9575","California"," Glenn "," Glenn County "
"9576","Alaska"," Ketchikan Gateway "," Ketchikan Gateway Borough "
"9577","Arizona"," Navajo "," Navajo County "
"9578","Georgia"," Brooks "," Brooks County "
"9579","Alabama"," Dale "," Dale County "
"9580","Montana"," Daniels "," Daniels County "
"9581","Missouri"," Bollinger "," Bollinger County "
"9582","Mississippi"," Chickasaw "," Chickasaw County "
"9583","Wyoming"," Hot Springs "," Hot Springs County "
"9584","Florida"," Clay "," Clay County "
"9585","Idaho"," Butte "," Butte County "
"9586","Arkansas"," Cleburne "," Cleburne County "
"9587","Colorado"," Costilla "," Costilla County "
"9588","California"," Humboldt "," Humboldt County "
"9589","Alaska"," Kodiak Island "," Kodiak Island Borough "
"9590","Arizona"," Pima "," Pima County "
"9591","Georgia"," Bryan "," Bryan County "
"9592","Alabama"," Dallas "," Dallas County "
"9593","Montana"," Dawson "," Dawson County "
"9594","Missouri"," Boone "," Boone County "
"9595","Mississippi"," Choctaw "," Choctaw County "
"9596","Wyoming"," Johnson "," Johnson County "
"9597","Florida"," Collier "," Collier County "
"9598","Idaho"," Camas "," Camas County "
"9599","Arkansas"," Cleveland "," Cleveland County "
"9600","Colorado"," Crowley "," Crowley County "
"9601","California"," Imperial "," Imperial County "
"9602","Alaska"," Matanuska-Susitna "," Matanuska-Susitna Borough "
"9603","Arizona"," Pinal "," Pinal County "
"9604","Georgia"," Bulloch "," Bulloch County "
"9605","Alabama"," DeKalb "," DeKalb County "
"9606","Montana"," Deer Lodge "," Deer Lodge County "
"9607","Missouri"," Buchanan "," Buchanan County "
"9608","Mississippi"," Claiborne "," Claiborne County "
"9609","Wyoming"," Laramie "," Laramie County "
"9610","Florida"," Columbia "," Columbia County "
"9611","Idaho"," Canyon "," Canyon County "
"9612","Arkansas"," Columbia "," Columbia County "
"9613","Colorado"," Custer "," Custer County "
"9614","California"," Inyo "," Inyo County "
"9615","Alaska"," Nome "," Nome Borough "
"9616","Arizona"," Santa Cruz "," Santa Cruz County "
"9617","Georgia"," Burke "," Burke County "
"9618","Alabama"," Elmore "," Elmore County "
"9619","Montana"," Fallon "," Fallon County "
"9620","Missouri"," Butler "," Butler County "
"9621","Mississippi"," Clarke "," Clarke County "
"9622","Wyoming"," Lincoln "," Lincoln County "
"9623","Florida"," DeSoto "," DeSoto County "
"9624","Idaho"," Caribou "," Caribou County "
"9625","Arkansas"," Conway "," Conway County "
"9626","Colorado"," Delta "," Delta County "
"9627","California"," Kern "," Kern County "
"9628","Alaska"," Sitka "," Sitka Borough "
"9629","Arizona"," Yavapai "," Yavapai County "
"9630","Georgia"," Butts "," Butts County "
"9631","Alabama"," Escambia "," Escambia County "
"9632","Montana"," Fergus "," Fergus County "
"9633","Missouri"," Caldwell "," Caldwell County "
"9634","Mississippi"," Clay "," Clay County "
"9635","Wyoming"," Natrona "," Natrona County "
"9636","Florida"," Dixie "," Dixie County "
"9637","Idaho"," Cassia "," Cassia County "
"9638","Arkansas"," Craighead "," Craighead County "
"9639","Colorado"," Denver "," Denver County "
"9640","California"," Kings "," Kings County "
"9641","Alaska"," Southeast Fairbanks "," Southeast Fairbanks Borough "
"9642","Arizona"," Yuma "," Yuma County "
"9643","Georgia"," Calhoun "," Calhoun County "
"9644","Alabama"," Etowah "," Etowah County "
"9645","Montana"," Flathead "," Flathead County "
"9646","Missouri"," Callaway "," Callaway County "
"9647","Mississippi"," Coahoma "," Coahoma County "
"9648","Wyoming"," Niobrara "," Niobrara County "
"9649","Florida"," Duval "," Duval County "
"9650","Idaho"," Clark "," Clark County "
"9651","Arkansas"," Crawford "," Crawford County "
"9652","Colorado"," Dolores "," Dolores County "
"9653","California"," Lake "," Lake County "
"9654","Alaska"," Valdez-Cordova "," Valdez-Cordova Borough "
"9655","Georgia"," Camden "," Camden County "
"9656","Alabama"," Fayette "," Fayette County "
"9657","Montana"," Gallatin "," Gallatin County "
"9658","Missouri"," Camden "," Camden County "
"9659","Mississippi"," Copiah "," Copiah County "
"9660","Wyoming"," Park "," Park County "
"9661","Florida"," Escambia "," Escambia County "
"9662","Idaho"," Clearwater "," Clearwater County "
"9663","Arkansas"," Crittenden "," Crittenden County "
"9664","Colorado"," Douglas "," Douglas County "
"9665","California"," Lassen "," Lassen County "
"9666","Alaska"," Yukon-Koyukuk "," Yukon-Koyukuk Borough "
"9667","Georgia"," Candler "," Candler County "
"9668","Alabama"," Franklin "," Franklin County "
"9669","Montana"," Glacier "," Glacier County "
"9670","Missouri"," Cape Girardeau "," Cape Girardeau County "
"9671","Mississippi"," Covington "," Covington County "
"9672","Wyoming"," Platte "," Platte County "
"9673","Florida"," Flagler "," Flagler County "
"9674","Idaho"," Custer "," Custer County "
"9675","Arkansas"," Cross "," Cross County "
"9676","Colorado"," Eagle "," Eagle County "
"9677","California"," Los Angeles "," Los Angeles County "
"9678","Georgia"," Carroll "," Carroll County "
"9679","Alabama"," Geneva "," Geneva County "
"9680","Montana"," Golden Valley "," Golden Valley County "
"9681","Missouri"," Carroll "," Carroll County "
"9682","Mississippi"," DeSoto "," DeSoto County "
"9683","Wyoming"," Sheridan "," Sheridan County "
"9684","Florida"," Franklin "," Franklin County "
"9685","Idaho"," Elmore "," Elmore County "
"9686","Arkansas"," Dallas "," Dallas County "
"9687","Colorado"," Elbert "," Elbert County "
"9688","California"," Madera "," Madera County "
"9689","Georgia"," Catoosa "," Catoosa County "
"9690","Alabama"," Greene "," Greene County "
"9691","Montana"," Granite "," Granite County "
"9692","Missouri"," Carter "," Carter County "
"9693","Mississippi"," Forrest "," Forrest County "
"9694","Wyoming"," Sublette "," Sublette County "
"9695","Florida"," Gadsden "," Gadsden County "
"9696","Idaho"," Franklin "," Franklin County "
"9697","Arkansas"," Desha "," Desha County "
"9698","Colorado"," El Paso "," El Paso County "
"9699","California"," Marin "," Marin County "
"9700","Georgia"," Charlton "," Charlton County "
"9701","Alabama"," Hale "," Hale County "
"9702","Montana"," Hill "," Hill County "
"9703","Missouri"," Cass "," Cass County "
"9704","Mississippi"," Franklin "," Franklin County "
"9705","Wyoming"," Sweetwater "," Sweetwater County "
"9706","Florida"," Gilchrist "," Gilchrist County "
"9707","Idaho"," Fremont "," Fremont County "
"9708","Arkansas"," Drew "," Drew County "
"9709","Colorado"," Fremont "," Fremont County "
"9710","California"," Mariposa "," Mariposa County "
"9711","Georgia"," Chatham "," Chatham County "
"9712","Alabama"," Henry "," Henry County "
"9713","Montana"," Jefferson "," Jefferson County "
"9714","Missouri"," Cedar "," Cedar County "
"9715","Mississippi"," George "," George County "
"9716","Wyoming"," Teton "," Teton County "
"9717","Florida"," Glades "," Glades County "
"9718","Idaho"," Gem "," Gem County "
"9719","Arkansas"," Faulkner "," Faulkner County "
"9720","Colorado"," Garfield "," Garfield County "
"9721","California"," Mendocino "," Mendocino County "
"9722","Georgia"," Chattahoochee "," Chattahoochee County "
"9723","Alabama"," Houston "," Houston County "
"9724","Montana"," Judith Basin "," Judith Basin County "
"9725","Missouri"," Chariton "," Chariton County "
"9726","Mississippi"," Greene "," Greene County "
"9727","Wyoming"," Uinta "," Uinta County "
"9728","Florida"," Gulf "," Gulf County "
"9729","Idaho"," Gooding "," Gooding County "
"9730","Arkansas"," Franklin "," Franklin County "
"9731","Colorado"," Gilpin "," Gilpin County "
"9732","California"," Merced "," Merced County "
"9733","Georgia"," Chattooga "," Chattooga County "
"9734","Alabama"," Jackson "," Jackson County "
"9735","Montana"," Lake "," Lake County "
"9736","Missouri"," Christian "," Christian County "
"9737","Mississippi"," Grenada "," Grenada County "
"9738","Wyoming"," Washakie "," Washakie County "
"9739","Florida"," Hamilton "," Hamilton County "
"9740","Idaho"," Idaho "," Idaho County "
"9741","Arkansas"," Fulton "," Fulton County "
"9742","Colorado"," Grand "," Grand County "
"9743","California"," Modoc "," Modoc County "
"9744","Georgia"," Cherokee "," Cherokee County "
"9745","Alabama"," Jefferson "," Jefferson County "
"9746","Montana"," Lewis and Clark "," Lewis and Clark County "
"9747","Missouri"," Clark "," Clark County "
"9748","Mississippi"," Hancock "," Hancock County "
"9749","Wyoming"," Weston "," Weston County "
"9750","Florida"," Hardee "," Hardee County "
"9751","Idaho"," Jefferson "," Jefferson County "
"9752","Arkansas"," Garland "," Garland County "
"9753","Colorado"," Gunnison "," Gunnison County "
"9754","California"," Mono "," Mono County "
"9755","Georgia"," Clarke "," Clarke County "
"9756","Alabama"," Lamar "," Lamar County "
"9757","Montana"," Liberty "," Liberty County "
"9758","Missouri"," Clay "," Clay County "
"9759","Mississippi"," Harrison "," Harrison County "
"9760","Florida"," Hendry "," Hendry County "
"9761","Idaho"," Jerome "," Jerome County "
"9762","Arkansas"," Grant "," Grant County "
"9763","Colorado"," Hinsdale "," Hinsdale County "
"9764","California"," Monterey "," Monterey County "
"9765","Georgia"," Clay "," Clay County "
"9766","Alabama"," Lauderdale "," Lauderdale County "
"9767","Montana"," Lincoln "," Lincoln County "
"9768","Missouri"," Clinton "," Clinton County "
"9769","Mississippi"," Hinds "," Hinds County "
"9770","Florida"," Hernando "," Hernando County "
"9771","Idaho"," Kootenai "," Kootenai County "
"9772","Arkansas"," Greene "," Greene County "
"9773","Colorado"," Huerfano "," Huerfano County "
"9774","California"," Napa "," Napa County "
"9775","Georgia"," Clayton "," Clayton County "
"9776","Alabama"," Lawrence "," Lawrence County "
"9777","Montana"," McCone "," McCone County "
"9778","Missouri"," Cole "," Cole County "
"9779","Mississippi"," Holmes "," Holmes County "
"9780","Florida"," Highlands "," Highlands County "
"9781","Idaho"," Latah "," Latah County "
"9782","Arkansas"," Hempstead "," Hempstead County "
"9783","Colorado"," Jackson "," Jackson County "
"9784","California"," Nevada "," Nevada County "
"9785","Georgia"," Clinch "," Clinch County "
"9786","Alabama"," Lee "," Lee County "
"9787","Montana"," Madison "," Madison County "
"9788","Missouri"," Cooper "," Cooper County "
"9789","Mississippi"," Humphreys "," Humphreys County "
"9790","Florida"," Hills "," Hills County "
"9791","Idaho"," Lemhi "," Lemhi County "
"9792","Arkansas"," Hot Spring "," Hot Spring County "
"9793","Colorado"," Jefferson "," Jefferson County "
"9794","California"," Orange "," Orange County "
"9795","Georgia"," Cobb "," Cobb County "
"9796","Alabama"," Limestone "," Limestone County "
"9797","Montana"," Meagher "," Meagher County "
"9798","Missouri"," Crawford "," Crawford County "
"9799","Mississippi"," Issaquena "," Issaquena County "
"9800","Florida"," Holmes "," Holmes County "
"9801","Idaho"," Lewis "," Lewis County "
"9802","Arkansas"," Howard "," Howard County "
"9803","Colorado"," Kit Carson "," Kit Carson County "
"9804","California"," Placer "," Placer County "
"9805","Georgia"," Coffee "," Coffee County "
"9806","Alabama"," Lowndes "," Lowndes County "
"9807","Montana"," Mineral "," Mineral County "
"9808","Missouri"," Dade "," Dade County "
"9809","Mississippi"," Itawamba "," Itawamba County "
"9810","Florida"," Indian River "," Indian River County "
"9811","Idaho"," Lincoln "," Lincoln County "
"9812","Arkansas"," Independence "," Independence County "
"9813","Colorado"," Lake "," Lake County "
"9814","California"," Plumas "," Plumas County "
"9815","Georgia"," Colquitt "," Colquitt County "
"9816","Alabama"," Macon "," Macon County "
"9817","Montana"," Missoula "," Missoula County "
"9818","Missouri"," Dallas "," Dallas County "
"9819","Mississippi"," Jackson "," Jackson County "
"9820","Florida"," Jackson "," Jackson County "
"9821","Idaho"," Madison "," Madison County "
"9822","Arkansas"," Izard "," Izard County "
"9823","Colorado"," La Plata "," La Plata County "
"9824","California"," Riverside "," Riverside County "
"9825","Georgia"," Columbia "," Columbia County "
"9826","Alabama"," Madison "," Madison County "
"9827","Montana"," Musselshell "," Musselshell County "
"9828","Missouri"," Daviess "," Daviess County "
"9829","Mississippi"," Jasper "," Jasper County "
"9830","Florida"," Jefferson "," Jefferson County "
"9831","Idaho"," Minidoka "," Minidoka County "
"9832","Arkansas"," Jackson "," Jackson County "
"9833","Colorado"," Larimer "," Larimer County "
"9834","California"," Sacramento "," Sacramento County "
"9835","Georgia"," Cook "," Cook County "
"9836","Alabama"," Marengo "," Marengo County "
"9837","Montana"," Park "," Park County "
"9838","Missouri"," DeKalb "," DeKalb County "
"9839","Mississippi"," Jefferson "," Jefferson County "
"9840","Florida"," Lafayette "," Lafayette County "
"9841","Idaho"," Nez Perce "," Nez Perce County "
"9842","Arkansas"," Jefferson "," Jefferson County "
"9843","Colorado"," Las Animas "," Las Animas County "
"9844","California"," San Benito "," San Benito County "
"9845","Georgia"," Coweta "," Coweta County "
"9846","Alabama"," Marion "," Marion County "
"9847","Montana"," Petroleum "," Petroleum County "
"9848","Missouri"," Dent "," Dent County "
"9849","Mississippi"," Jefferson Davis "," Jefferson Davis County "
"9850","Florida"," Lake "," Lake County "
"9851","Idaho"," Oneida "," Oneida County "
"9852","Arkansas"," Johnson "," Johnson County "
"9853","Colorado"," Lincoln "," Lincoln County "
"9854","California"," San Bernardino "," San Bernardino County "
"9855","Georgia"," Crawford "," Crawford County "
"9856","Alabama"," Marshall "," Marshall County "
"9857","Montana"," Phillips "," Phillips County "
"9858","Missouri"," Douglas "," Douglas County "
"9859","Mississippi"," Jones "," Jones County "
"9860","Florida"," Lee "," Lee County "
"9861","Idaho"," Owyhee "," Owyhee County "
"9862","Arkansas"," Lafayette "," Lafayette County "
"9863","Colorado"," Logan "," Logan County "
"9864","California"," San Diego "," San Diego County "
"9865","Georgia"," Crisp "," Crisp County "
"9866","Alabama"," Mobile "," Mobile County "
"9867","Montana"," Pondera "," Pondera County "
"9868","Missouri"," Dunklin "," Dunklin County "
"9869","Mississippi"," Kemper "," Kemper County "
"9870","Florida"," Leon "," Leon County "
"9871","Idaho"," Payette "," Payette County "
"9872","Arkansas"," Lawrence "," Lawrence County "
"9873","Colorado"," Mesa "," Mesa County "
"9874","California"," San Francisco "," San Francisco County "
"9875","Georgia"," Dade "," Dade County "
"9876","Alabama"," Monroe "," Monroe County "
"9877","Montana"," Powder River "," Powder River County "
"9878","Missouri"," Franklin "," Franklin County "
"9879","Mississippi"," Lafayette "," Lafayette County "
"9880","Florida"," Levy "," Levy County "
"9881","Idaho"," Power "," Power County "
"9882","Arkansas"," Lee "," Lee County "
"9883","Colorado"," Mineral "," Mineral County "
"9884","California"," San Joaquin "," San Joaquin County "
"9885","Georgia"," Dawson "," Dawson County "
"9886","Alabama"," Montgomery "," Montgomery County "
"9887","Montana"," Powell "," Powell County "
"9888","Missouri"," Gasconade "," Gasconade County "
"9889","Mississippi"," Lamar "," Lamar County "
"9890","Florida"," Liberty "," Liberty County "
"9891","Idaho"," Shoshone "," Shoshone County "
"9892","Arkansas"," Lincoln "," Lincoln County "
"9893","Colorado"," Moffat "," Moffat County "
"9894","California"," San Luis Obispo "," San Luis Obispo County "
"9895","Georgia"," Decatur "," Decatur County "
"9896","Alabama"," Morgan "," Morgan County "
"9897","Montana"," Prairie "," Prairie County "
"9898","Missouri"," Gentry "," Gentry County "
"9899","Mississippi"," Lauderdale "," Lauderdale County "
"9900","Florida"," Madison "," Madison County "
"9901","Idaho"," Teton "," Teton County "
"9902","Arkansas"," Little River "," Little River County "
"9903","Colorado"," Montezuma "," Montezuma County "
"9904","California"," San Mateo "," San Mateo County "
"9905","Georgia"," DeKalb "," DeKalb County "
"9906","Alabama"," Perry "," Perry County "
"9907","Montana"," Ravalli "," Ravalli County "
"9908","Missouri"," Greene "," Greene County "
"9909","Mississippi"," Lawrence "," Lawrence County "
"9910","Florida"," Manatee "," Manatee County "
"9911","Idaho"," Twin Falls "," Twin Falls County "
"9912","Arkansas"," Logan "," Logan County "
"9913","Colorado"," Montrose "," Montrose County "
"9914","California"," Santa Barbara "," Santa Barbara County "
"9915","Georgia"," Dodge "," Dodge County "
"9916","Alabama"," Pickens "," Pickens County "
"9917","Montana"," Richland "," Richland County "
"9918","Missouri"," Grundy "," Grundy County "
"9919","Mississippi"," Leake "," Leake County "
"9920","Florida"," Marion "," Marion County "
"9921","Idaho"," Valley "," Valley County "
"9922","Arkansas"," Lonoke "," Lonoke County "
"9923","Colorado"," Morgan "," Morgan County "
"9924","California"," Santa Clara "," Santa Clara County "
"9925","Georgia"," Dooly "," Dooly County "
"9926","Alabama"," Pike "," Pike County "
"9927","Montana"," Roosevelt "," Roosevelt County "
"9928","Missouri"," Harrison "," Harrison County "
"9929","Mississippi"," Lee "," Lee County "
"9930","Florida"," Martin "," Martin County "
"9931","Idaho"," Washington "," Washington County "
"9932","Arkansas"," Madison "," Madison County "
"9933","Colorado"," Otero "," Otero County "
"9934","California"," Santa Cruz "," Santa Cruz County "
"9935","Georgia"," Dougherty "," Dougherty County "
"9936","Alabama"," Randolph "," Randolph County "
"9937","Montana"," Rosebud "," Rosebud County "
"9938","Missouri"," Henry "," Henry County "
"9939","Mississippi"," Leflore "," Leflore County "
"9940","Florida"," Miami-Dade "," Miami-Dade County "
"9941","Arkansas"," Marion "," Marion County "
"9942","Colorado"," Ouray "," Ouray County "
"9943","California"," Shasta "," Shasta County "
"9944","Georgia"," Douglas "," Douglas County "
"9945","Alabama"," Russell "," Russell County "
"9946","Montana"," Sanders "," Sanders County "
"9947","Missouri"," Hickory "," Hickory County "
"9948","Mississippi"," Lincoln "," Lincoln County "
"9949","Florida"," Monroe "," Monroe County "
"9950","Arkansas"," Miller "," Miller County "
"9951","Colorado"," Park "," Park County "
"9952","California"," Sierra "," Sierra County "
"9953","Georgia"," Early "," Early County "
"9954","Alabama"," Saint Clair "," Saint Clair County "
"9955","Montana"," Sheridan "," Sheridan County "
"9956","Missouri"," Holt "," Holt County "
"9957","Mississippi"," Lowndes "," Lowndes County "
"9958","Florida"," Nassau "," Nassau County "
"9959","Arkansas"," Mississippi "," Mississippi County "
"9960","Colorado"," Phillips "," Phillips County "
"9961","California"," Siskiyou "," Siskiyou County "
"9962","Georgia"," Echols "," Echols County "
"9963","Alabama"," Shelby "," Shelby County "
"9964","Montana"," Silver Bow "," Silver Bow County "
"9965","Missouri"," Howard "," Howard County "
"9966","Mississippi"," Madison "," Madison County "
"9967","Florida"," Okaloosa "," Okaloosa County "
"9968","Arkansas"," Monroe "," Monroe County "
"9969","Colorado"," Pitkin "," Pitkin County "
"9970","California"," Solano "," Solano County "
"9971","Georgia"," Effingham "," Effingham County "
"9972","Alabama"," Sumter "," Sumter County "
"9973","Montana"," Stillwater "," Stillwater County "
"9974","Missouri"," Howell "," Howell County "
"9975","Mississippi"," Marion "," Marion County "
"9976","Florida"," Okeechobee "," Okeechobee County "
"9977","Arkansas"," Montgomery "," Montgomery County "
"9978","Colorado"," Prowers "," Prowers County "
"9979","California"," Sonoma "," Sonoma County "
"9980","Georgia"," Elbert "," Elbert County "
"9981","Alabama"," Talladega "," Talladega County "
"9982","Montana"," Sweet Grass "," Sweet Grass County "
"9983","Missouri"," Iron "," Iron County "
"9984","Mississippi"," Marshall "," Marshall County "
"9985","Florida"," Orange "," Orange County "
"9986","Arkansas"," Nevada "," Nevada County "
"9987","Colorado"," Pueblo "," Pueblo County "
"9988","California"," Stanislaus "," Stanislaus County "
"9989","Georgia"," Emanuel "," Emanuel County "
"9990","Alabama"," Tallapoosa "," Tallapoosa County "
"9991","Montana"," Teton "," Teton County "
"9992","Missouri"," Jackson "," Jackson County "
"9993","Mississippi"," Monroe "," Monroe County "
"9994","Florida"," Osceola "," Osceola County "
"9995","Arkansas"," Newton "," Newton County "
"9996","Colorado"," Rio Blanco "," Rio Blanco County "
"9997","California"," Sutter "," Sutter County "
"9998","Georgia"," Evans "," Evans County "
"9999","Alabama"," Tuscaloosa "," Tuscaloosa County "
"10000","Montana"," Toole "," Toole County "
"10001","Missouri"," Jasper "," Jasper County "
"10002","Mississippi"," Montgomery "," Montgomery County "
"10003","Florida"," Palm Beach "," Palm Beach County "
"10004","Arkansas"," Ouachita "," Ouachita County "
"10005","Colorado"," Rio Grande "," Rio Grande County "
"10006","California"," Tehama "," Tehama County "
"10007","Georgia"," Fannin "," Fannin County "
"10008","Alabama"," Walker "," Walker County "
"10009","Montana"," Treasure "," Treasure County "
"10010","Missouri"," Jefferson "," Jefferson County "
"10011","Mississippi"," Neshoba "," Neshoba County "
"10012","Florida"," Pasco "," Pasco County "
"10013","Arkansas"," Perry "," Perry County "
"10014","Colorado"," Routt "," Routt County "
"10015","California"," Trinity "," Trinity County "
"10016","Georgia"," Fayette "," Fayette County "
"10017","Alabama"," Washington "," Washington County "
"10018","Montana"," Valley "," Valley County "
"10019","Missouri"," Johnson "," Johnson County "
"10020","Mississippi"," Newton "," Newton County "
"10021","Florida"," Pinellas "," Pinellas County "
"10022","Arkansas"," Phillips "," Phillips County "
