countyName,zipCode
Faulkner,72032
Gem,83616
Marin,94904
El Paso,80133
Desha,71654
Franklin,83263
Carroll,30170
Chatham,31322
Mariposa,93623
Fremont,81212
Catoosa,30741
Madera,93614
Elbert,80106
Los Angeles,90005
Eagle,81623
Lake,95451
Crawford,72947
Lassen,96119
Yuma,85365
Yavapai,86314
Kern,93240
Pinal,85139
Imperial,92273
Navajo,86029
Pima,85653
Maricopa,85020
El Dorado,95720
Mohave,86436
Kenai Peninsula,99672
Contra Costa,94530
Adams,80260
Alameda,94586
Fairfield,6824
Chattooga,30730
Merced,93620
Gilpin,80403
Mendocino,95415
Garfield,81623
Faulkner,72034
Gem,83617
Marin,94920
El Paso,80808
Carroll,30179
Chatham,31328
Mariposa,93653
Fremont,81221
Catoosa,30742
Madera,93622
Elbert,80107
Los Angeles,90006
Eagle,81631
Lake,95453
Crawford,72948
Lassen,96121
Yuma,85367
Yavapai,86315
Kern,93241
Pinal,85140
Imperial,92274
Navajo,86032
Pima,85658
Maricopa,85021
El Dorado,95721
Mohave,86438
Contra Costa,94531
Adams,80601
Alameda,94587
Fairfield,6825
Cherokee,30004
Chattooga,30731
Merced,93635
Modoc,96006
Gilpin,80422
Grand,80442
Fulton,72513
Idaho,83522
Mendocino,95417
Garfield,81635
Faulkner,72039
Gem,83629
Marin,94924
El Paso,80809
Carroll,30180
Chatham,31401
Mariposa,95306
Fremont,81222
Catoosa,30755
Madera,93626
Elbert,80116
Los Angeles,90007
Eagle,81632
Lake,95457
Crawford,72952
Lassen,96128
Yavapai,86320
Kern,93243
Pinal,85142
Imperial,92281
Navajo,86047
Pima,85701
Maricopa,85022
El Dorado,95726
Mohave,86440
Contra Costa,94547
Adams,80602
Alameda,94588
Fairfield,6830
Cherokee,30028
Chattooga,30747
Clarke,30601
Mono,93512
Gunnison,81210
Merced,93665
Modoc,96015
Gilpin,80427
Grand,80446
Fulton,72520
Idaho,83525
Mendocino,95420
Garfield,81637
Faulkner,72047
Gem,83657
Marin,94925
El Paso,80817
Carroll,30182
Chatham,31404
Mariposa,95311
Fremont,81223
Madera,93636
Elbert,80117
Los Angeles,90008
Eagle,81637
Lake,95458
Crawford,72956
Lassen,96130
Yavapai,86322
Kern,93249
Pinal,85143
Imperial,92283
Pima,85704
Maricopa,85023
El Dorado,95735
Mohave,86441
Contra Costa,94548
Adams,80603
Alameda,94601
Fairfield,6831
Clay,39851
Cherokee,30040
Monterey,93426
Hinsdale,81130
Grant,72015
Jerome,83301
Chattooga,30753
Clarke,30605
Mono,93514
Gunnison,81220
Merced,95301
Modoc,96054
Gilpin,80474
Grand,80447
Fulton,72529
Idaho,83526
Mendocino,95427
Garfield,81647
Faulkner,72058
Marin,94929
El Paso,80819
Carroll,30185
Chatham,31405
Mariposa,95321
Fremont,81226
Madera,93637
Elbert,80138
Los Angeles,90010
Eagle,81645
Lake,95461
Crawford,72959
Lassen,96132
Yavapai,86323
Kern,93250
Pinal,85145
Pima,85705
Maricopa,85024
El Dorado,95762
Mohave,86442
Contra Costa,94549
Adams,80640
Alameda,94602
Fairfield,6840
Clayton,30215
Clay,39854
Cherokee,30075
Monterey,93450
Hinsdale,81147
Grant,72065
Napa,83616
Jerome,83325
Huerfano,81040
Clarke,30606
Mono,93517
Gunnison,81224
Merced,95312
Modoc,96056
Grand,80451
Fulton,72531
Idaho,83530
Mendocino,95428
Garfield,81650
Faulkner,72061
Marin,94930
El Paso,80829
Chatham,31406
Mariposa,95325
Fremont,81232
Madera,93638
Elbert,80828
Los Angeles,90011
Eagle,81649
Lake,95464
Lassen,96136
Yavapai,86324
Kern,93252
Pinal,85172
Pima,85706
Maricopa,85027
El Dorado,96142
Mohave,86444
Contra Costa,94553
Adams,80642
Alameda,94603
Fairfield,6850
Clayton,30228
Clinch,31623
Nevada,95602
Jackson,80430
Hempstead,71801
Latah,83535
Clay,39867
Cherokee,30101
Monterey,93451
Hinsdale,81235
Grant,72084
Napa,94503
Jerome,83335
Huerfano,81055
Clarke,30607
Mono,93529
Gunnison,81225
Merced,95315
Modoc,96101
Grand,80459
Fulton,72538
Idaho,83536
Mendocino,95429
Garfield,81652
Faulkner,72076
Marin,94933
El Paso,80831
Chatham,31407
Mariposa,95329
Fremont,81233
Madera,93643
Elbert,80830
Los Angeles,90012
Eagle,81655
Lake,95467
Lassen,96137
Yavapai,86325
Kern,93255
Pinal,85173
Pima,85710
Maricopa,85028
El Dorado,96150
Mohave,86445
Contra Costa,94556
Adams,80643
Alameda,94605
Fairfield,6851
Clayton,30236
Clinch,31634
Nevada,95728
Jackson,80480
Hempstead,71847
Latah,83537
Cobb,30008
Orange,90620
Jefferson,80002
Cherokee,30102
Monterey,93901
Grant,72128
Napa,94508
Jerome,83338
Huerfano,81069
Clarke,30622
Mono,93541
Gunnison,81230
Merced,95317
Modoc,96104
Grand,80468
Fulton,72539
Idaho,83539
Mendocino,95432
Faulkner,72106
Marin,94937
El Paso,80832
Chatham,31408
Mariposa,95338
Fremont,81240
Madera,93644
Elbert,80831
Los Angeles,90013
Eagle,81657
Lake,95469
Yavapai,86326
Kern,93263
Pinal,85192
Pima,85711
Maricopa,85029
Contra Costa,94561
Adams,80701
Alameda,94606
Fairfield,6853
Clayton,30238
Coffee,31512
Placer,95602
Kit Carson,80805
Howard,71833
Lewis,83523
Nevada,95945
Hempstead,71852
Latah,83823
Cobb,30060
Orange,90621
Jefferson,80003
Cherokee,30107
Monterey,93905
Grant,72150
Napa,94515
Huerfano,81089
Clarke,30646
Mono,93546
Gunnison,81237
Merced,95322
Modoc,96108
Grand,80478
Fulton,72542
Idaho,83542
Mendocino,95437
Faulkner,72111
Marin,94939
El Paso,80833
Chatham,31410
Mariposa,95345
Fremont,81244
Madera,93645
Elbert,80832
Los Angeles,90014
Lake,95485
Yavapai,86327
Kern,93268
Pinal,85193
Pima,85712
Maricopa,85031
Contra Costa,94563
Alameda,94607
Fairfield,6854
Clayton,30250
Coffee,31519
Placer,95603
Kit Carson,80807
Howard,71851
Lewis,83536
Colquitt,31637
Plumas,95923
Nevada,95946
Lake,80461
Hempstead,71859
Latah,83832
Cobb,30062
Orange,90623
Jefferson,80004
Cherokee,30114
Monterey,93906
Napa,94558
Clarke,30683
Mono,96107
Gunnison,81241
Merced,95324
Modoc,96112
Grand,80482
Fulton,72554
Idaho,83547
Mendocino,95445
Faulkner,72120
Marin,94940
El Paso,80863
Chatham,31411
Mariposa,95389
Madera,93653
Elbert,80835
Los Angeles,90015
Lake,95493
Yavapai,86329
Kern,93280
Pinal,85194
Pima,85713
Maricopa,85032
Contra Costa,94564
Alameda,94608
Fairfield,6855
Clayton,30260
Columbia,30802
Coffee,31533
Riverside,91752
La Plata,81122
Izard,72512
Madison,83434
Placer,95626
Kit Carson,80815
Howard,71852
Lewis,83543
Colquitt,31738
Plumas,95934
Nevada,95949
Lake,81251
Hempstead,71862
Latah,83834
Cobb,30064
Orange,90630
Jefferson,80005
Cherokee,30115
Monterey,93907
Napa,94559
Mono,96133
Gunnison,81243
Merced,95333
Modoc,96116
Fulton,72576
Idaho,83549
Mendocino,95449
Faulkner,72131
Marin,94941
El Paso,80864
Chatham,31415
Madera,93669
Los Angeles,90016
Yavapai,86331
Kern,93283
Pinal,85212
Pima,85714
Maricopa,85033
Contra Costa,94565
Alameda,94609
Fairfield,6870
Clayton,30273
Columbia,30809
Cook,31620
Sacramento,94571
Larimer,80512
Coffee,31535
Riverside,92028
La Plata,81137
Izard,72517
Madison,83436
Placer,95631
Kit Carson,80836
Lewis,83555
Colquitt,31765
Plumas,95947
Nevada,95959
Latah,83843
Cobb,30066
Orange,90631
Jefferson,80007
Cherokee,30183
Monterey,93908
Napa,94567
Gunnison,81434
Merced,95334
Modoc,96134
Fulton,72578
Idaho,83552
Mendocino,95454
Faulkner,72173
Marin,94945
El Paso,80903
Chatham,31419
Madera,93720
Los Angeles,90017
Yavapai,86332
Kern,93285
Pinal,85539
Pima,85715
Maricopa,85034
Contra Costa,94572
Alameda,94610
Fairfield,6877
Clayton,30274
Coweta,30220
San Benito,95004
Columbia,30813
Cook,31632
Sacramento,95608
Larimer,80513
Las Animas,81020
Jefferson,71601
Nez Perce,83501
Coffee,31554
Riverside,92201
La Plata,81301
Izard,72519
Madison,83440
Placer,95648
Kit Carson,80861
Colquitt,31768
Plumas,95956
Nevada,95960
Latah,83855
Cobb,30067
Orange,90633
Jefferson,80020
Cherokee,30184
Monterey,93920
Napa,94574
Gunnison,81623
Merced,95340
Fulton,72583
Idaho,83554
Mendocino,95456
Faulkner,72181
Marin,94946
El Paso,80904
Chatham,31421
Los Angeles,90018
Yavapai,86333
Kern,93301
Pinal,85618
Pima,85716
Maricopa,85035
Contra Costa,94582
Alameda,94611
Fairfield,6878
Clayton,30281
Coweta,30230
San Benito,95023
Columbia,30814
Crawford,31008
San Bernardino,91701
Lincoln,80804
Cook,31637
Sacramento,95610
Larimer,80515
Las Animas,81024
Jefferson,71602
Nez Perce,83524
Coffee,31567
Riverside,92203
La Plata,81303
Izard,72528
Madison,83445
Placer,95650
Colquitt,31771
Plumas,95971
Nevada,95975
Latah,83857
Cobb,30068
Orange,90638
Jefferson,80021
Cherokee,30188
Monterey,93921
Napa,94599
Merced,95341
Idaho,83654
Mendocino,95459
Marin,94947
El Paso,80905
Los Angeles,90019
Yavapai,86334
Kern,93304
Pinal,85623
Pima,85718
Maricopa,85037
Contra Costa,94583
Alameda,94612
Fairfield,6880
Clayton,30288
Coweta,30259
Crisp,31015
San Diego,91901
Logan,80726
Lafayette,71826
Owyhee,83302
San Benito,95043
Columbia,30907
Crawford,31030
San Bernardino,91708
Lincoln,80818
Cook,31647
Sacramento,95615
Larimer,80517
Las Animas,81059
Jefferson,71603
Nez Perce,83535
Coffee,31650
Riverside,92210
La Plata,81326
Izard,72536
Madison,83448
Placer,95658
Colquitt,31788
Plumas,95981
Nevada,95977
Latah,83871
Cobb,30075
Orange,90680
Jefferson,80033
Cherokee,30189
Monterey,93923
Napa,95476
Merced,95348
Idaho,83671
Mendocino,95460
Marin,94949
El Paso,80906
Los Angeles,90020
Yavapai,86335
Kern,93305
Pinal,85631
Pima,85719
Maricopa,85040
Contra Costa,94588
Alameda,94618
Fairfield,6883
Clayton,30294
Dade,30731
San Francisco,94102
Mesa,81501
Coweta,30263
Crisp,31712
San Diego,91902
Logan,80728
Lafayette,71845
Owyhee,83604
San Benito,95045
Columbia,30909
Crawford,31050
San Bernardino,91709
Lincoln,80821
Sacramento,95621
Larimer,80521
Las Animas,81082
Jefferson,72004
Nez Perce,83540
Riverside,92211
La Plata,81328
Izard,72556
Placer,95661
Plumas,95983
Nevada,96161
Latah,83872
Cobb,30080
Orange,90720
Jefferson,80123
Monterey,93924
Merced,95365
Mendocino,95463
Marin,94952
El Paso,80907
Los Angeles,90021
Yavapai,86336
Kern,93306
Pinal,85658
Pima,85730
Maricopa,85041
Contra Costa,94595
Alameda,94619
Fairfield,6890
Clayton,30296
Dade,30738
San Francisco,94103
Mesa,81503
Dawson,30028
Coweta,30265
San Joaquin,95202
Mineral,81130
Lee,72355
Power,83211
San Diego,91905
Logan,80736
Lafayette,71860
Owyhee,83624
San Benito,95075
Crawford,31052
San Bernardino,91710
Lincoln,80828
Sacramento,95624
Larimer,80524
Las Animas,81091
Jefferson,72046
Nez Perce,83541
Riverside,92220
La Plata,81329
Izard,72560
Placer,95663
Plumas,95984
Cobb,30082
Orange,90740
Jefferson,80127
Monterey,93925
Merced,95369
Mendocino,95466
Marin,94956
El Paso,80908
Los Angeles,90022
Yavapai,86337
Kern,93307
Pinal,85739
Pima,85735
Maricopa,85042
Contra Costa,94596
Alameda,94621
Fairfield,6896
Clayton,30297
Dade,30750
Decatur,39815
San Luis Obispo,93252
Moffat,81610
San Francisco,94104
Mesa,81504
Dawson,30143
Coweta,30268
San Joaquin,95203
Mineral,81154
Lee,72360
San Diego,91906
Logan,80741
Lafayette,71861
Owyhee,83628
Crawford,31066
San Bernardino,91730
Lincoln,80833
Sacramento,95626
Larimer,80525
Jefferson,72073
Nez Perce,83555
Riverside,92223
Izard,72561
Placer,95668
Plumas,96020
Cobb,30101
Orange,90742
Jefferson,80128
Monterey,93926
Merced,95374
Mendocino,95468
Marin,94957
El Paso,80909
Los Angeles,90023
Yavapai,86338
Kern,93308
Pima,85736
Maricopa,85043
Contra Costa,94597
Alameda,94702
Fairfield,6897
Clayton,30349
Dade,30752
Decatur,39817
San Luis Obispo,93401
DeKalb,30002
Moffat,81625
San Mateo,94002
Montezuma,81321
San Francisco,94105
Little River,71822
Teton,83422
Mesa,81505
Dawson,30148
Coweta,30276
San Joaquin,95204
Lee,72368
San Diego,91910
Logan,80747
Owyhee,83639
Crawford,31078
San Bernardino,91737
Sacramento,95628
Larimer,80526
Jefferson,72132
Nez Perce,83832
Riverside,92225
Izard,72565
Placer,95677
Plumas,96103
Cobb,30102
Orange,90815
Jefferson,80212
Monterey,93927
Merced,95380
Mendocino,95469
Marin,94960
El Paso,80910
Los Angeles,90024
Yavapai,86343
Kern,93309
Pima,85737
Maricopa,85044
Contra Costa,94598
Alameda,94703
Fairfield,6901
Clayton,30354
Dade,30757
Dodge,31012
Santa Barbara,93013
Montrose,81220
Decatur,39819
San Luis Obispo,93402
DeKalb,30021
Moffat,81638
San Mateo,94005
Montezuma,81323
San Francisco,94107
Little River,71836
Teton,83424
Mesa,81506
Dawson,30534
Coweta,30277
San Joaquin,95205
San Diego,91911
Logan,80751
Owyhee,83641
San Bernardino,91739
Sacramento,95630
Larimer,80528
Jefferson,72133
Riverside,92230
Izard,72566
Placer,95678
Plumas,96105
Cobb,30106
Orange,92602
Jefferson,80214
Monterey,93930
Merced,95388
Mendocino,95470
Marin,94963
El Paso,80911
Los Angeles,90025
Yavapai,86351
Kern,93311
Pima,85739
Maricopa,85045
Contra Costa,94707
Alameda,94704
Fairfield,6902
Dooly,31007
Santa Clara,94022
Morgan,80653
Lonoke,72007
Valley,83611
Dodge,31023
Santa Barbara,93067
Montrose,81401
Decatur,39825
San Luis Obispo,93405
DeKalb,30030
Moffat,81640
San Mateo,94010
Montezuma,81327
San Francisco,94108
Teton,83452
Mesa,81507
Dawson,30536
San Joaquin,95206
San Diego,91913
Owyhee,83650
San Bernardino,91759
Sacramento,95632
Larimer,80532
Jefferson,72160
Riverside,92234
Izard,72573
Placer,95681
Plumas,96106
Cobb,30126
Orange,92603
Jefferson,80215
Monterey,93932
Mendocino,95481
Marin,94965
El Paso,80915
Los Angeles,90026
Kern,93312
Pima,85741
Maricopa,85048
Contra Costa,94801
Alameda,94705
Fairfield,6903
Dooly,31070
Santa Clara,94024
Morgan,80654
Lonoke,72023
Valley,83615
Dougherty,31701
Santa Cruz,95003
Otero,81030
Dodge,31060
Santa Barbara,93101
Montrose,81403
Decatur,39834
San Luis Obispo,93420
DeKalb,30032
San Mateo,94014
Montezuma,81328
San Francisco,94109
Teton,83455
Mesa,81520
San Joaquin,95207
San Diego,91914
San Bernardino,91761
Sacramento,95638
Larimer,80534
Riverside,92236
Izard,72584
Placer,95701
Plumas,96122
Cobb,30127
Orange,92604
Jefferson,80226
Monterey,93933
Mendocino,95482
Marin,94970
El Paso,80916
Los Angeles,90027
Kern,93313
Pima,85742
Maricopa,85050
Contra Costa,94803
Alameda,94706
Fairfield,6904
Douglas,30106
Shasta,83616
Ouray,81403
Marion,72601
Miami Dade,33010
Dooly,31091
Santa Clara,94040
Morgan,80701
Lonoke,72024
Valley,83638
Dougherty,31705
Santa Cruz,95005
Otero,81039
Santa Barbara,93103
Montrose,81411
Decatur,39837
San Luis Obispo,93422
DeKalb,30033
San Mateo,94015
Montezuma,81331
San Francisco,94110
Mesa,81521
San Joaquin,95209
San Diego,91915
San Bernardino,91762
Sacramento,95639
Larimer,80535
Riverside,92239
Placer,95703
Plumas,96129
Cobb,30144
Orange,92606
Jefferson,80227
Monterey,93940
Mendocino,95488
Marin,94971
El Paso,80917
Los Angeles,90028
Kern,93314
Pima,85743
Maricopa,85051
Contra Costa,94804
Alameda,94707
Fairfield,6905
Douglas,30122
Shasta,96001
Ouray,81427
Marion,72619
Miami Dade,33012
Early,39813
Sierra,95910
Park,80420
Dooly,31092
Santa Clara,94041
Morgan,80705
Lonoke,72046
Dougherty,31707
Santa Cruz,95006
Otero,81050
Santa Barbara,93105
Montrose,81415
San Luis Obispo,93424
DeKalb,30034
San Mateo,94018
Montezuma,81335
San Francisco,94111
Mesa,81522
San Joaquin,95210
San Diego,91916
San Bernardino,91763
Sacramento,95641
Larimer,80536
Riverside,92240
Placer,95713
Plumas,96137
Cobb,30152
Orange,92610
Jefferson,80228
Monterey,93950
Mendocino,95490
Marin,94973
El Paso,80918
Los Angeles,90029
Kern,93501
Pima,85745
Maricopa,85053
Contra Costa,94805
Alameda,94708
Fairfield,6906
Echols,31648
Siskiyou,96014
Phillips,80731
Mississippi,72315
Nassau,32009
Douglas,30134
Shasta,96002
Ouray,81432
Marion,72633
Miami Dade,33013
Early,39823
Sierra,96118
Park,80421
Santa Clara,94043
Morgan,80723
Lonoke,72072
Dougherty,31721
